rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,rollout/exploration_rate,time/episodes,time/total_timesteps,time/fps,train/n_updates,train/learning_rate,train/loss
-81.9,50.0,14,0.7691500000000001,972,48600,3413,2975,0.0001,5.881078720092773
-81.9,50.0,14,0.7682000000000002,976,48800,3413,2987,0.0001,3.161863327026367
-82.02,50.0,14,0.7672500000000003,980,49000,3412,3000,0.0001,4.285350799560547
-82.26,50.0,14,0.7663000000000004,984,49200,3413,3012,0.0001,6.464963436126709
-82.2,50.0,14,0.7653500000000005,988,49400,3412,3025,0.0001,7.657668590545654
-82.44,50.0,14,0.7643999999999996,992,49600,3411,3037,0.0001,4.128749370574951
-82.26,50.0,14,0.7634499999999997,996,49800,3411,3050,0.0001,1.621262550354004
-82.2,50.0,14,0.7624999999999997,1000,50000,3410,3062,0.0001,1.1840054988861084
-82.2,50.0,14,0.76155,1004,50200,3409,3075,0.0001,2.88623046875
-82.68,50.0,14,0.7606,1008,50400,3409,3087,0.0001,2.3735549449920654
-82.98,50.0,14,0.7596500000000002,1012,50600,3408,3100,0.0001,8.109901428222656
-83.1,50.0,14,0.7587000000000003,1016,50800,3408,3112,0.0001,1.9581692218780518
-83.22,50.0,14,0.7577500000000004,1020,51000,3406,3125,0.0001,4.7547760009765625
-83.52,50.0,15,0.7568000000000005,1024,51200,3406,3137,0.0001,2.8726987838745117
-83.7,50.0,15,0.7558499999999995,1028,51400,3405,3150,0.0001,8.826976776123047
-83.76,50.0,15,0.7548999999999996,1032,51600,3405,3162,0.0001,2.7333197593688965
-83.64,50.0,15,0.7539499999999997,1036,51800,3405,3175,0.0001,3.971792697906494
-83.7,50.0,15,0.7529999999999998,1040,52000,3405,3187,0.0001,2.6118521690368652
-83.76,50.0,15,0.7520499999999999,1044,52200,3404,3200,0.0001,2.3591527938842773
-83.7,50.0,15,0.7511,1048,52400,3403,3212,0.0001,5.53444766998291
-83.7,50.0,15,0.7501500000000001,1052,52600,3402,3225,0.0001,4.867295265197754
-83.82,50.0,15,0.7492000000000003,1056,52800,3401,3237,0.0001,1.5089926719665527
-84.06,50.0,15,0.7482500000000003,1060,53000,3401,3250,0.0001,4.317967891693115
-84.0,50.0,15,0.7473000000000004,1064,53200,3400,3262,0.0001,3.7321524620056152
-84.06,50.0,15,0.7463500000000005,1068,53400,3398,3275,0.0001,10.399884223937988
-83.82,50.0,15,0.7453999999999996,1072,53600,3398,3287,0.0001,5.001166343688965
-84.0,50.0,15,0.7444499999999996,1076,53800,3397,3300,0.0001,1.5791420936584473
-84.12,50.0,15,0.7434999999999998,1080,54000,3396,3312,0.0001,1.4459037780761719
-84.06,50.0,15,0.7425499999999999,1084,54200,3394,3325,0.0001,3.7068657875061035
-84.42,50.0,16,0.7416,1088,54400,3394,3337,0.0001,2.233963966369629
-84.42,50.0,16,0.7406500000000001,1092,54600,3392,3350,0.0001,3.939608097076416
-84.6,50.0,16,0.7397000000000002,1096,54800,3390,3362,0.0001,2.673780918121338
-84.6,50.0,16,0.7387500000000004,1100,55000,3388,3375,0.0001,5.0161638259887695
-84.66,50.0,16,0.7378000000000005,1104,55200,3388,3387,0.0001,2.2723846435546875
-84.96,50.0,16,0.7368500000000004,1108,55400,3386,3400,0.0001,1.9262213706970215
-84.6,50.0,16,0.7358999999999996,1112,55600,3386,3412,0.0001,3.53531551361084
-84.18,50.0,16,0.7349499999999998,1116,55800,3385,3425,0.0001,7.175943851470947
-84.12,50.0,16,0.7339999999999998,1120,56000,3385,3437,0.0001,7.212262153625488
-83.94,50.0,16,0.73305,1124,56200,3384,3450,0.0001,3.9502367973327637
-83.76,50.0,16,0.7321,1128,56400,3383,3462,0.0001,6.099513053894043
-83.82,50.0,16,0.7311500000000001,1132,56600,3382,3475,0.0001,7.620351314544678
-83.94,50.0,16,0.7302000000000002,1136,56800,3382,3487,0.0001,4.105995178222656
-83.82,50.0,16,0.7292500000000003,1140,57000,3381,3500,0.0001,6.316702842712402
-83.7,50.0,16,0.7283000000000004,1144,57200,3381,3512,0.0001,6.88871955871582
-83.7,50.0,16,0.7273500000000006,1148,57400,3381,3525,0.0001,3.0201773643493652
-84.0,50.0,17,0.7263999999999996,1152,57600,3381,3537,0.0001,2.4428343772888184
-84.12,50.0,17,0.7254499999999997,1156,57800,3380,3550,0.0001,4.29478645324707
-84.06,50.0,17,0.7244999999999998,1160,58000,3380,3562,0.0001,3.431826591491699
-84.06,50.0,17,0.7235499999999999,1164,58200,3379,3575,0.0001,8.156015396118164
-84.18,50.0,17,0.7226,1168,58400,3379,3587,0.0001,6.40500545501709
-84.36,50.0,17,0.7216500000000001,1172,58600,3378,3600,0.0001,8.732294082641602
-84.24,50.0,17,0.7207000000000001,1176,58800,3378,3612,0.0001,2.634387969970703
-84.06,50.0,17,0.7197500000000003,1180,59000,3377,3625,0.0001,8.511015892028809
-84.06,50.0,17,0.7188000000000003,1184,59200,3378,3637,0.0001,2.5185465812683105
-84.12,50.0,17,0.7178500000000005,1188,59400,3376,3650,0.0001,20.875343322753906
-84.18,50.0,17,0.7168999999999996,1192,59600,3376,3662,0.0001,2.50182843208313
-84.24,50.0,17,0.7159499999999996,1196,59800,3374,3675,0.0001,7.764657974243164
-84.3,50.0,17,0.7149999999999997,1200,60000,3374,3687,0.0001,3.6078429222106934
-84.3,50.0,17,0.7140499999999999,1204,60200,3372,3700,0.0001,7.3933305740356445
-83.88,50.0,17,0.7131,1208,60400,3364,3712,0.0001,2.5565385818481445
-84.18,50.0,18,0.7121500000000001,1212,60600,3362,3725,0.0001,2.2589609622955322
-84.66,50.0,18,0.7112000000000003,1216,60800,3361,3737,0.0001,7.875582218170166
-84.84,50.0,18,0.7102500000000003,1220,61000,3358,3750,0.0001,6.2440385818481445
-84.96,50.0,18,0.7093000000000005,1224,61200,3355,3762,0.0001,8.071501731872559
-84.9,50.0,18,0.7083500000000005,1228,61400,3354,3775,0.0001,1.794306755065918
-85.08,50.0,18,0.7073999999999996,1232,61600,3352,3787,0.0001,6.51936674118042
-85.2,50.0,18,0.7064499999999997,1236,61800,3350,3800,0.0001,8.146279335021973
-85.32,50.0,18,0.7054999999999998,1240,62000,3348,3812,0.0001,5.97720193862915
-85.62,50.0,18,0.7045499999999998,1244,62200,3348,3825,0.0001,14.432514190673828
