timesteps,reward
1044,[0.1 0.1 0.1 0.1]
1048,[0.1 0.1 0.1 0.1]
1052,[0.1 0.1 0.1 0.1]
1056,[0.1 0.1 0.1 0.1]
1060,[0.1 0.1 0.1 0.1]
1064,[0.1 0.1 0.1 0.1]
1068,[0.1 0.1 0.1 0.1]
1072,[0.1 0.1 0.1 0.1]
1076,[0.1 0.1 0.1 0.1]
1080,[0.1 0.1 0.1 0.1]
1084,[0.1 0.1 0.1 0.1]
1088,[0.1 0.1 0.1 0.1]
1092,[0.1 0.1 0.1 0.1]
1096,[0.1 0.1 0.1 0.1]
1100,[0.1 0.1 0.1 0.1]
1104,[0.1 0.1 0.1 0.1]
1108,[0.1 0.1 0.1 0.1]
1112,[0.1 0.1 0.1 0.1]
1116,[0.1 0.1 0.1 0.1]
1120,[0.1 0.1 0.1 0.1]
1124,[0.1 0.1 0.1 0.1]
1128,[ 0.1 -0.5 -0.5  0.1]
1132,[ 0.1 -0.5 -0.5  0.1]
1136,[ 0.1 -0.5 -0.5  0.1]
1140,[-0.5 -0.5 -0.5 -0.5]
1144,[-0.5 -0.5 -0.5 -0.5]
1148,[-0.5 -0.5 -0.5 -0.5]
1152,[-0.5 -0.5 -0.5 -0.5]
1156,[-0.5 -0.5 -0.5 -0.5]
1160,[-0.5 -0.5 -0.5 -0.5]
1164,[-0.5 -0.5 -0.5 -0.5]
1168,[-0.5 -0.5 -0.5 -0.5]
1172,[-0.5 -0.5 -0.5 -0.5]
1176,[-0.5 -0.5 -0.5 -0.5]
1180,[-0.5 -0.5 -0.5 -0.5]
1184,[-0.5 -0.5 -0.5 -0.5]
1188,[-0.5 -0.5 -0.5 -0.5]
1192,[-0.5 -0.5 -0.5 -0.5]
1196,[-0.5 -0.5 -0.5 -0.5]
1200,[-1. -1. -1. -1.]
1204,[0.1 0.1 0.1 0.1]
1208,[0.1 0.1 0.1 0.1]
1212,[0.1 0.1 0.1 0.1]
1216,[0.1 0.1 0.1 0.1]
1220,[0.1 0.1 0.1 0.1]
1224,[0.1 0.1 0.1 0.1]
1228,[0.1 0.1 0.1 0.1]
1232,[0.1 0.1 0.1 0.1]
1236,[0.1 0.1 0.1 0.1]
1240,[0.1 0.1 0.1 0.1]
1244,[0.1 0.1 0.1 0.1]
1248,[0.1 0.1 0.1 0.1]
1252,[0.1 0.1 0.1 0.1]
1256,[0.1 0.1 0.1 0.1]
1260,[0.1 0.1 0.1 0.1]
1264,[0.1 0.1 0.1 0.1]
1268,[0.1 0.1 0.1 0.1]
1272,[0.1 0.1 0.1 0.1]
1276,[0.1 0.1 0.1 0.1]
1280,[0.1 0.1 0.1 0.1]
1284,[0.1 0.1 0.1 0.1]
1288,[0.1 0.1 0.1 0.1]
1292,[0.1 0.1 0.1 0.1]
1296,[0.1 0.1 0.1 0.1]
1300,[0.1 0.1 0.1 0.1]
1304,[0.1 0.1 0.1 0.1]
1308,[0.1 0.1 0.1 0.1]
1312,[0.1 0.1 0.1 0.1]
1316,[0.1 0.1 0.1 0.1]
1320,[0.1 0.1 0.1 0.1]
1324,[ 0.1  0.1 -0.5  0.1]
1328,[ 0.1  0.1 -0.5 -0.5]
1332,[ 0.1  0.1 -0.5 -0.5]
1336,[ 0.1  0.1 -0.5 -0.5]
1340,[ 0.1 -0.5 -0.5 -0.5]
1344,[-0.5 -0.5 -0.5 -0.5]
1348,[-0.5 -0.5 -0.5 -0.5]
1352,[-0.5 -0.5 -0.5 -0.5]
1356,[-0.5 -0.5 -0.5 -0.5]
1360,[-0.5 -0.5 -0.5 -0.5]
1364,[-0.5 -0.5 -0.5 -0.5]
1368,[-0.5 -0.5 -0.5 -0.5]
1372,[-0.5 -0.5 -0.5 -0.5]
1376,[-0.5 -0.5 -0.5 -0.5]
1380,[-0.5 -0.5 -0.5 -0.5]
1384,[-0.5 -0.5 -0.5 -0.5]
1388,[-0.5 -0.5 -0.5 -0.5]
1392,[-0.5 -0.5 -0.5 -0.5]
1396,[-0.5 -0.5 -0.5 -0.5]
1400,[-1. -1. -1. -1.]
1404,[0.1 0.1 0.1 0.1]
1408,[0.1 0.1 0.1 0.1]
1412,[0.1 0.1 0.1 0.1]
1416,[0.1 0.1 0.1 0.1]
1420,[0.1 0.1 0.1 0.1]
1424,[0.1 0.1 0.1 0.1]
1428,[0.1 0.1 0.1 0.1]
1432,[0.1 0.1 0.1 0.1]
1436,[0.1 0.1 0.1 0.1]
1440,[0.1 0.1 0.1 0.1]
1444,[0.1 0.1 0.1 0.1]
1448,[0.1 0.1 0.1 0.1]
1452,[0.1 0.1 0.1 0.1]
1456,[0.1 0.1 0.1 0.1]
1460,[0.1 0.1 0.1 0.1]
1464,[0.1 0.1 0.1 0.1]
1468,[0.1 0.1 0.1 0.1]
1472,[0.1 0.1 0.1 0.1]
1476,[0.1 0.1 0.1 0.1]
1480,[0.1 0.1 0.1 0.1]
1484,[0.1 0.1 0.1 0.1]
1488,[0.1 0.1 0.1 0.1]
1492,[0.1 0.1 0.1 0.1]
1496,[0.1 0.1 0.1 0.1]
1500,[0.1 0.1 0.1 0.1]
1504,[0.1 0.1 0.1 0.1]
1508,[0.1 0.1 0.1 0.1]
1512,[0.1 0.1 0.1 0.1]
1516,[0.1 0.1 0.1 0.1]
1520,[ 0.1 -0.5 -0.5  0.1]
1524,[ 0.1 -0.5 -0.5  0.1]
1528,[ 0.1 -0.5 -0.5 -0.5]
1532,[-0.5 -0.5 -0.5 -0.5]
1536,[-0.5 -0.5 -0.5 -0.5]
1540,[-0.5 -0.5 -0.5 -0.5]
1544,[-0.5 -0.5 -0.5 -0.5]
1548,[-0.5 -0.5 -0.5 -0.5]
1552,[-0.5 -0.5 -0.5 -0.5]
1556,[-0.5 -0.5 -0.5 -0.5]
1560,[-0.5 -0.5 -0.5 -0.5]
1564,[-0.5 -0.5 -0.5 -0.5]
1568,[-0.5 -0.5 -0.5 -0.5]
1572,[-0.5 -0.5 -0.5 -0.5]
1576,[-0.5 -0.5 -0.5 -0.5]
1580,[-0.5 -0.5 -0.5 -0.5]
1584,[-0.5 -0.5 -0.5 -0.5]
1588,[-0.5 -0.5 -0.5 -0.5]
1592,[-0.5 -0.5 -0.5 -0.5]
1596,[-0.5 -0.5 -0.5 -0.5]
1600,[-1. -1. -1. -1.]
1604,[0.1 0.1 0.1 0.1]
1608,[0.1 0.1 0.1 0.1]
1612,[0.1 0.1 0.1 0.1]
1616,[0.1 0.1 0.1 0.1]
1620,[0.1 0.1 0.1 0.1]
1624,[0.1 0.1 0.1 0.1]
1628,[0.1 0.1 0.1 0.1]
1632,[0.1 0.1 0.1 0.1]
1636,[0.1 0.1 0.1 0.1]
1640,[0.1 0.1 0.1 0.1]
1644,[0.1 0.1 0.1 0.1]
1648,[0.1 0.1 0.1 0.1]
1652,[0.1 0.1 0.1 0.1]
1656,[0.1 0.1 0.1 0.1]
1660,[0.1 0.1 0.1 0.1]
1664,[0.1 0.1 0.1 0.1]
1668,[0.1 0.1 0.1 0.1]
1672,[0.1 0.1 0.1 0.1]
1676,[0.1 0.1 0.1 0.1]
1680,[0.1 0.1 0.1 0.1]
1684,[0.1 0.1 0.1 0.1]
1688,[0.1 0.1 0.1 0.1]
1692,[0.1 0.1 0.1 0.1]
1696,[0.1 0.1 0.1 0.1]
1700,[0.1 0.1 0.1 0.1]
1704,[0.1 0.1 0.1 0.1]
1708,[0.1 0.1 0.1 0.1]
1712,[0.1 0.1 0.1 0.1]
1716,[0.1 0.1 0.1 0.1]
1720,[ 0.1  0.1 -0.5  0.1]
1724,[ 0.1 -0.5 -0.5 -0.5]
1728,[ 0.1 -0.5 -0.5 -0.5]
1732,[-0.5 -0.5 -0.5 -0.5]
1736,[-0.5 -0.5 -0.5 -0.5]
1740,[-0.5 -0.5 -0.5 -0.5]
1744,[-0.5 -0.5 -0.5 -0.5]
1748,[-0.5 -0.5 -0.5 -0.5]
1752,[-0.5 -0.5 -0.5 -0.5]
1756,[-0.5 -0.5 -0.5 -0.5]
1760,[-0.5 -0.5 -0.5 -0.5]
1764,[-0.5 -0.5 -0.5 -0.5]
1768,[-0.5 -0.5 -0.5 -0.5]
1772,[-0.5 -0.5 -0.5 -0.5]
1776,[-0.5 -0.5 -0.5 -0.5]
1780,[-0.5 -0.5 -0.5 -0.5]
1784,[-0.5 -0.5 -0.5 -0.5]
1788,[-0.5 -0.5 -0.5 -0.5]
1792,[-0.5 -0.5 -0.5 -0.5]
1796,[-0.5 -0.5 -0.5 -0.5]
1800,[-1. -1. -1. -1.]
1804,[0.1 0.1 0.1 0.1]
1808,[0.1 0.1 0.1 0.1]
1812,[0.1 0.1 0.1 0.1]
1816,[0.1 0.1 0.1 0.1]
1820,[0.1 0.1 0.1 0.1]
1824,[0.1 0.1 0.1 0.1]
1828,[0.1 0.1 0.1 0.1]
1832,[0.1 0.1 0.1 0.1]
1836,[0.1 0.1 0.1 0.1]
1840,[0.1 0.1 0.1 0.1]
1844,[0.1 0.1 0.1 0.1]
1848,[0.1 0.1 0.1 0.1]
1852,[0.1 0.1 0.1 0.1]
1856,[0.1 0.1 0.1 0.1]
1860,[0.1 0.1 0.1 0.1]
1864,[0.1 0.1 0.1 0.1]
1868,[0.1 0.1 0.1 0.1]
1872,[0.1 0.1 0.1 0.1]
1876,[0.1 0.1 0.1 0.1]
1880,[0.1 0.1 0.1 0.1]
1884,[0.1 0.1 0.1 0.1]
1888,[0.1 0.1 0.1 0.1]
1892,[0.1 0.1 0.1 0.1]
1896,[0.1 0.1 0.1 0.1]
1900,[0.1 0.1 0.1 0.1]
1904,[0.1 0.1 0.1 0.1]
1908,[0.1 0.1 0.1 0.1]
1912,[0.1 0.1 0.1 0.1]
1916,[0.1 0.1 0.1 0.1]
1920,[0.1 0.1 0.1 0.1]
1924,[0.1 0.1 0.1 0.1]
1928,[ 0.1  0.1 -0.5  0.1]
1932,[ 0.1 -0.5 -0.5 -0.5]
1936,[-0.5 -0.5 -0.5 -0.5]
1940,[-0.5 -0.5 -0.5 -0.5]
1944,[-0.5 -0.5 -0.5 -0.5]
1948,[-0.5 -0.5 -0.5 -0.5]
1952,[-0.5 -0.5 -0.5 -0.5]
1956,[-0.5 -0.5 -0.5 -0.5]
1960,[-0.5 -0.5 -0.5 -0.5]
