train/entropy_loss,rollout/ep_len_mean,train/value_loss,train/n_updates,time/total_timesteps,train/policy_loss,train/explained_variance,time/fps,train/learning_rate,time/time_elapsed,rollout/ep_rew_mean,time/iterations
-0.05822264775633812,84.81,18.872873306274414,24899,498000,-0.1389034241437912,0.178397536277771,1094,0.0007,454,8.290000000000001,24900
-0.1623944193124771,89.94,0.0004296875558793545,24999,500000,0.0014146178727969527,0.9958662567660213,1095,0.0007,456,8.911,25000
-0.02813589945435524,87.94,0.14644978940486908,25099,502000,-0.000717684393748641,0.1876649260520935,1094,0.0007,458,8.675,25100
-0.011525158770382404,81.91,0.29570892453193665,25199,504000,-4.472665023058653e-05,0.36215025186538696,1094,0.0007,460,7.946000000000001,25200
-0.028651846572756767,84.53,0.0004602970730047673,25299,506000,2.9575026928796433e-05,0.9985950733534992,1094,0.0007,462,8.270999999999999,25300
-0.10605039447546005,84.15,8.660432815551758,25399,508000,0.0030088648200035095,0.08965981006622314,1094,0.0007,464,8.232999999999999,25400
-0.04958602413535118,85.18,21.63003158569336,25499,510000,-0.0038338310550898314,0.11176997423171997,1094,0.0007,466,8.381,25500
-0.1280994713306427,90.68,0.00276795681566,25599,512000,-0.005064544267952442,0.9921389995142817,1094,0.0007,467,9.056999999999999,25600
-0.10726696252822876,88.03,0.14584939181804657,25699,514000,0.08135704696178436,-0.1797623634338379,1094,0.0007,469,8.729,25700
-0.0009973890846595168,87.37,0.07602769136428833,25799,516000,2.217756900790846e-06,0.7633773684501648,1093,0.0007,471,8.653999999999998,25800
-0.0017506674630567431,88.33,11.791147232055664,25899,518000,-0.0001255622919416055,0.1650170087814331,1094,0.0007,473,8.777000000000001,25900
-0.20391546189785004,85.05,0.0014766923850402236,25999,520000,-0.0063008638098835945,0.9067466408014297,1094,0.0007,475,8.35,26000
-0.16212165355682373,86.26,20.6320858001709,26099,522000,-0.9109510779380798,0.02598559856414795,1094,0.0007,476,8.498,26100
-0.031191080808639526,87.19,0.0027251613792032003,26199,524000,-0.0002170263760490343,0.8977012261748314,1094,0.0007,478,8.626999999999999,26200
-0.27478548884391785,87.31,0.009612097404897213,26299,526000,-0.006521959789097309,0.7001453042030334,1093,0.0007,480,8.621,26300
-0.08818369358778,82.94,0.0003746194706764072,26399,528000,0.0002945933665614575,0.9576120786368847,1093,0.0007,483,8.067,26400
-0.1382760852575302,80.52,0.003426950890570879,26499,530000,-0.0032371345441788435,0.9278945252299309,1093,0.0007,484,7.789,26500
-0.1031394749879837,83.06,0.0328625924885273,26599,532000,0.015941763296723366,-0.31199169158935547,1092,0.0007,486,8.097,26600
-0.08334136009216309,85.45,0.0005752709694206715,26699,534000,0.0002224152412964031,0.7163655757904053,1092,0.0007,488,8.372,26700
-0.14741185307502747,88.81,0.007197927217930555,26799,536000,-0.014712161384522915,0.8337049335241318,1091,0.0007,491,8.816,26800
