rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,rollout/exploration_rate,rollout/ep_rew_mean,time/fps,time/episodes,train/n_updates,train/learning_rate,train/loss
50.0,7,25800,0.8774499999999998,-7.410000000000001,3466,516,1550,0.0001,0.14257054030895233
50.0,7,26000,0.8765,-7.3439999999999985,3467,520,1562,0.0001,0.21208061277866364
50.0,7,26200,0.87555,-7.35,3467,524,1575,0.0001,0.23418471217155457
50.0,7,26400,0.8746000000000002,-7.331999999999999,3466,528,1587,0.0001,0.14975230395793915
50.0,7,26600,0.8736500000000003,-7.284,3463,532,1600,0.0001,0.017658669501543045
50.0,7,26800,0.8727000000000003,-7.308,3461,536,1612,0.0001,0.16423872113227844
50.0,7,27000,0.8717500000000005,-7.2,3459,540,1625,0.0001,0.1556776612997055
50.0,7,27200,0.8708000000000006,-7.122000000000001,3458,544,1637,0.0001,0.028275281190872192
50.0,7,27400,0.8698499999999996,-7.079999999999999,3456,548,1650,0.0001,0.24933592975139618
50.0,7,27600,0.8688999999999997,-7.0139999999999985,3456,552,1662,0.0001,0.009726045653223991
50.0,8,27800,0.8679499999999998,-6.99,3454,556,1675,0.0001,0.1760791838169098
50.0,8,28000,0.8669999999999999,-6.911999999999999,3453,560,1687,0.0001,0.40346279740333557
50.0,8,28200,0.86605,-6.888000000000001,3449,564,1700,0.0001,0.17217907309532166
50.0,8,28400,0.8651000000000001,-6.828,3447,568,1712,0.0001,0.3080820143222809
50.0,8,28600,0.8641500000000002,-6.803999999999999,3446,572,1725,0.0001,0.011524347588419914
50.0,8,28800,0.8632000000000003,-6.768,3446,576,1737,0.0001,0.30737292766571045
50.0,8,29000,0.8622500000000004,-6.756,3445,580,1750,0.0001,0.01479145884513855
50.0,8,29200,0.8613000000000005,-6.7620000000000005,3446,584,1762,0.0001,0.023516783490777016
50.0,8,29400,0.8603499999999996,-6.786000000000001,3440,588,1775,0.0001,0.014022880233824253
50.0,8,29600,0.8593999999999997,-6.852,3437,592,1787,0.0001,0.13810671865940094
50.0,8,29800,0.8584499999999998,-6.8580000000000005,3436,596,1800,0.0001,0.07262323796749115
50.0,8,30000,0.8574999999999999,-6.882,3436,600,1812,0.0001,0.08136273175477982
50.0,8,30200,0.8565499999999999,-6.935999999999999,3434,604,1825,0.0001,0.19223856925964355
50.0,8,30400,0.8556000000000001,-6.869999999999999,3428,608,1837,0.0001,0.019090639427304268
50.0,8,30600,0.8546500000000002,-6.906000000000001,3427,612,1850,0.0001,0.07065293192863464
50.0,8,30800,0.8537000000000003,-6.912000000000001,3427,616,1862,0.0001,0.36706769466400146
50.0,9,31000,0.8527500000000003,-6.9300000000000015,3425,620,1875,0.0001,0.40809935331344604
50.0,9,31200,0.8518000000000006,-6.840000000000001,3422,624,1887,0.0001,0.020888980478048325
50.0,9,31400,0.8508499999999996,-6.785999999999999,3419,628,1900,0.0001,0.08390569686889648
50.0,9,31600,0.8498999999999997,-6.773999999999998,3415,632,1912,0.0001,0.01588507741689682
50.0,9,31800,0.8489499999999998,-6.7379999999999995,3413,636,1925,0.0001,0.018482394516468048
50.0,9,32000,0.8479999999999999,-6.858000000000001,3413,640,1937,0.0001,0.08102714270353317
50.0,9,32200,0.84705,-6.942,3408,644,1950,0.0001,0.258966326713562
50.0,9,32400,0.8461000000000001,-6.978,3407,648,1962,0.0001,0.15487314760684967
50.0,9,32600,0.8451500000000002,-7.013999999999999,3406,652,1975,0.0001,0.08102104812860489
50.0,9,32800,0.8442000000000003,-6.912000000000001,3405,656,1987,0.0001,0.17434248328208923
50.0,9,33000,0.8432500000000004,-6.887999999999998,3402,660,2000,0.0001,0.0750836655497551
50.0,9,33200,0.8423000000000005,-6.905999999999999,3401,664,2012,0.0001,0.08409789949655533
50.0,9,33400,0.8413499999999996,-6.917999999999999,3398,668,2025,0.0001,0.29831695556640625
50.0,9,33600,0.8403999999999997,-6.839999999999999,3396,672,2037,0.0001,0.07739824056625366
50.0,9,33800,0.8394499999999998,-6.857999999999999,3395,676,2050,0.0001,0.08582819253206253
50.0,10,34000,0.8384999999999998,-6.833999999999999,3396,680,2062,0.0001,0.6910477876663208
50.0,10,34200,0.83755,-6.797999999999998,3394,684,2075,0.0001,0.023936225101351738
50.0,10,34400,0.8366,-6.731999999999999,3393,688,2087,0.0001,0.35987842082977295
50.0,10,34600,0.8356500000000002,-6.708000000000001,3393,692,2100,0.0001,0.07939751446247101
50.0,10,34800,0.8347000000000003,-6.708000000000001,3393,696,2112,0.0001,0.00795559212565422
50.0,10,35000,0.8337500000000004,-6.72,3392,700,2125,0.0001,0.3873717784881592
50.0,10,35200,0.8328000000000005,-6.731999999999999,3394,704,2137,0.0001,0.027964740991592407
50.0,10,35400,0.8318499999999995,-6.828,3393,708,2150,0.0001,0.01915609836578369
