rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,time/fps,train/n_updates,train/value_loss,train/explained_variance,train/loss,train/clip_fraction,train/entropy_loss,train/policy_gradient_loss,train/learning_rate,train/approx_kl,train/clip_range
114.61,66,68.19,114,67584,590,650,623.8634107589721,0.3353939652442932,364.7579040527344,0.00263671875,-0.09517404506914318,-8.396178600378335e-05,0.0003,0.00086924934,0.2
110.06,67,67.6,115,68608,591,660,834.7896362304688,0.2808212637901306,341.2856140136719,0.0138671875,-0.10776698836125434,-0.0006647185538895429,0.0003,0.0017178728,0.2
110.42,68,67.96,117,69632,592,670,572.24546251297,0.4805489182472229,304.1521911621094,0.00380859375,-0.0902492675697431,-0.0003030646301340312,0.0003,0.0004687028,0.2
116.88,69,69.47,119,70656,593,680,845.5739910125733,0.2955527901649475,351.4836120605469,0.0037109375,-0.09148624096997082,-0.0012273901200387626,0.0003,0.00044341246,0.2
124.04,70,71.68,120,71680,593,690,842.0006513595581,0.33232587575912476,414.3670654296875,0.0048828125,-0.09210744148585945,-0.0007487908034818247,0.0003,0.00074200024,0.2
128.46,71,73.13,122,72704,594,700,974.5655708312988,0.2770426869392395,509.12811279296875,0.00224609375,-0.09131951334420592,-2.8735934756696223e-05,0.0003,0.00011218205,0.2
131.42,72,74.11,123,73728,595,710,1038.6889400482178,0.17075258493423462,591.3463134765625,0.03740234375,-0.08151253431569785,-0.004753678460838273,0.0003,0.002619355,0.2
125.53,73,73.17,125,74752,595,720,1091.1993343353272,0.1762281060218811,511.7288818359375,0.01513671875,-0.09166928257327527,-0.0005460360203869641,0.0003,0.0006364436,0.2
129.94,74,74.61,127,75776,595,730,867.9908880233764,0.24000459909439087,447.9465637207031,0.00546875,-0.09603649789933115,-0.00029248176724649966,0.0003,0.00043428031,0.2
127.38,75,74.03,128,76800,595,740,1052.1053588867187,0.25740665197372437,401.75091552734375,0.00546875,-0.08323776887264103,-0.00035169675247743727,0.0003,0.0010061234,0.2
122.6,76,73.21,130,77824,594,750,779.5683488845825,0.21249115467071533,392.1668701171875,0.02900390625,-0.10057258459273725,-0.002746223338181153,0.0003,0.0013091002,0.2
125.15,77,73.78,132,78848,595,760,985.866801071167,0.15613389015197754,375.88861083984375,0.01474609375,-0.10026257287245244,-0.001485539268469438,0.0003,0.0025479698,0.2
122.23,78,72.84,134,79872,594,770,1125.3703968048096,0.13997244834899902,418.8518371582031,0.01591796875,-0.0797264460939914,-0.0029238801856990904,0.0003,0.0011775305,0.2
130.14,79,74.81,135,80896,595,780,1063.139295578003,0.2856481671333313,598.1702270507812,0.00302734375,-0.08219335530884564,-0.0006899345607962459,0.0003,0.0007861253,0.2
143.56,80,78.33,137,81920,595,790,1018.6462654113769,0.2759600877761841,403.4002380371094,0.00029296875,-0.09401548295281828,-0.00017752965213730932,0.0003,0.0002110228,0.2
146.19,81,78.98,139,82944,595,800,1075.01478805542,0.3977220058441162,493.7773742675781,0.02333984375,-0.07159862979315221,-0.002067669911775738,0.0003,0.0022148339,0.2
150.31,82,80.13,140,83968,595,810,1448.6399837493896,0.012505054473876953,578.900390625,0.00244140625,-0.08341346278320998,-0.0005705092917196453,0.0003,0.00033069358,0.2
150.27,83,80.09,142,84992,596,820,1618.673625564575,0.03673911094665527,735.0401611328125,0.0287109375,-0.07585202251793817,-0.0020982892310712487,0.0003,0.0013080302,0.2
136.5,84,76.22,144,86016,596,830,1058.3962131500243,0.09017980098724365,369.69586181640625,0.02294921875,-0.0860801569884643,-0.0033409509807825087,0.0003,0.0020349636,0.2
