time/total_timesteps,time/iterations,train/policy_loss,rollout/ep_len_mean,train/explained_variance,train/entropy_loss,train/value_loss,rollout/ep_rew_mean,train/learning_rate,time/time_elapsed,time/fps,train/n_updates
918000,45900,-2.8840877348557115e-06,70.71,0.9999088556724018,-0.0002403146354481578,0.0037143367808312178,111.19,0.0007,843,1088,45899
920000,46000,-2.2566489406017354e-06,55.26,0.999540081655141,-0.0001496558397775516,0.0185247790068388,55.15,0.0007,844,1088,45999
922000,46100,0.03368445858359337,50.43,0.9925030409358442,-0.035048484802246094,0.5708824992179871,39.43,0.0007,846,1089,46099
924000,46200,0.028992492705583572,50.13,0.9910396803170443,-0.034574735909700394,0.8547288775444031,39.13,0.0007,848,1089,46199
926000,46300,0.004705083556473255,50.0,0.9977222110610455,-0.015543043613433838,0.1857941448688507,39.0,0.0007,850,1089,46299
928000,46400,0.07573752105236053,50.0,0.996209605364129,-0.03148423135280609,0.30941063165664673,39.0,0.0007,851,1089,46399
930000,46500,0.0073460726998746395,50.0,0.9976664867717773,-0.018115585669875145,0.198939248919487,39.0,0.0007,853,1089,46499
932000,46600,0.001430838368833065,50.0,0.999394892482087,-0.015164676122367382,0.05175543949007988,39.0,0.0007,855,1089,46599
934000,46700,4.269604687578976e-07,50.0,0.9997349068871699,-1.1699440619850066e-05,0.021301710978150368,39.0,0.0007,857,1089,46699
936000,46800,0.03577343001961708,50.33,0.9983872020384297,-0.029239937663078308,0.28207507729530334,39.33,0.0007,859,1089,46799
938000,46900,-0.0009160349145531654,51.09,0.9998830344484304,-0.04012952372431755,0.009269881062209606,40.09,0.0007,861,1089,46899
940000,47000,-0.00011674046254483983,51.37,0.9999414709964185,-0.006765693426132202,0.004311002790927887,40.37,0.0007,862,1089,46999
942000,47100,-0.11729903519153595,51.57,0.9988736112136394,-0.03183581307530403,0.4164285361766815,40.57,0.0007,864,1089,47099
944000,47200,-1.6441845218650997e-07,55.89,0.9998646513267886,-3.500179445836693e-05,0.028187274932861328,56.77,0.0007,866,1089,47199
946000,47300,-0.0,61.9,-0.10629355907440186,-5.902961230930259e-09,24.126850128173828,78.62,0.0007,867,1089,47299
948000,47400,-0.00013658512034453452,68.92,0.7705242186784744,-0.013732868246734142,2.6724460124969482,104.45,0.0007,869,1090,47399
950000,47500,2.478160422469955e-05,70.32,0.6953986883163452,-4.8146142944460735e-05,6.304110050201416,109.81,0.0007,871,1090,47499
952000,47600,0.07251778990030289,70.31,0.9868671093136072,-0.01723470352590084,0.046856023371219635,108.81,0.0007,873,1090,47599
954000,47700,-3.5095620155334473,69.36,0.06476253271102905,-0.03644179180264473,2451.45849609375,104.89,0.0007,874,1090,47699
956000,47800,0.00022374853142537177,74.66,0.9965656052809209,-0.04193953797221184,0.002578527433797717,124.05,0.0007,876,1090,47799
958000,47900,0.003188729751855135,76.18,0.021329164505004883,-0.026272742077708244,2605.039306640625,129.53,0.0007,878,1090,47899
960000,48000,-0.0010155636118724942,74.09,0.9861689303070307,-0.018388962373137474,0.005622523371130228,123.48,0.0007,879,1090,47999
962000,48100,-8.49081243359251e-06,71.15,0.022506773471832275,-0.0009519708692096174,563.3363647460938,116.58,0.0007,881,1091,48099
964000,48200,-0.0,69.39,0.8413169533014297,-2.284736178026492e-09,0.021215585991740227,111.85,0.0007,883,1091,48199
966000,48300,-7.277419626916526e-06,71.45,0.003933310508728027,-0.0054655722342431545,1693.177734375,123.81,0.0007,885,1091,48299
968000,48400,-0.00021334369375836104,71.82,0.030972778797149658,-0.026692885905504227,562.2064208984375,128.14,0.0007,887,1091,48399
970000,48500,2.6122577764908783e-05,70.43,0.9755159355700016,-0.015270928852260113,0.002499688882380724,123.78,0.0007,889,1091,48499
972000,48600,0.00023288240481633693,70.18,0.8812485337257385,-0.004563005641102791,5.6319780349731445,126.5,0.0007,890,1091,48599
974000,48700,-2.9904187459628417e-10,68.17,0.5877335667610168,-1.3583922964244266e-06,167.72369384765625,115.58,0.0007,892,1091,48699
976000,48800,-0.001958486158400774,71.11,0.9859910616651177,-0.007910029962658882,0.37634286284446716,124.46,0.0007,894,1091,48799
978000,48900,0.0009016105905175209,73.06,0.18644821643829346,-0.008560992777347565,843.43798828125,126.41,0.0007,896,1091,48899
980000,49000,0.0023334592115134,74.88,0.11297774314880371,-0.015685468912124634,643.6338500976562,128.23,0.0007,898,1091,48999
982000,49100,-4.1378186210749845e-07,77.66,0.14765214920043945,-3.250740064686397e-06,932.79443359375,135.96,0.0007,899,1091,49099
984000,49200,0.017758836969733238,67.14,0.9903049347922206,-0.060942500829696655,0.10730886459350586,96.73,0.0007,901,1091,49199
986000,49300,0.00010874671716010198,62.82,0.988677216693759,-0.003582257078960538,0.006021887995302677,81.52,0.0007,903,1091,49299
988000,49400,0.01139489933848381,54.65,0.2112194299697876,-0.03392673656344414,726.0302734375,52.56,0.0007,905,1091,49399
990000,49500,0.0014898410299792886,55.47,0.9992788506206125,-0.017000418156385422,0.06508766859769821,55.36,0.0007,907,1091,49499
992000,49600,-0.0,58.82,0.9603911563754082,-1.461968533158966e-14,1.2064895629882812,70.59,0.0007,909,1091,49599
994000,49700,0.00042382124229334295,65.54,0.9997518282907549,-0.04863519221544266,0.0024186898954212666,98.1,0.0007,910,1091,49699
996000,49800,-0.0003821995051112026,69.44,0.13225853443145752,-0.014783153310418129,822.1529541015625,116.85,0.0007,912,1091,49799
998000,49900,0.003129008924588561,72.79,0.3581804037094116,-0.01925864815711975,1048.7127685546875,132.08,0.0007,914,1091,49899
1000000,50000,-0.0,72.19,0.9988780869171023,-1.1659821024000757e-14,0.016051769256591797,126.53,0.0007,916,1091,49999
1002000,50100,0.00990736111998558,71.5,0.08093726634979248,-0.047399189323186874,1308.4970703125,125.84,0.0007,918,1091,50099
1004000,50200,-0.0,69.26,0.9980313326232135,-2.820275818980235e-14,0.007073608692735434,119.64,0.0007,919,1091,50199
