time/time_elapsed,time/fps,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,train/clip_range,train/loss,train/clip_fraction,train/explained_variance,train/n_updates,train/entropy_loss,train/value_loss,train/policy_gradient_loss,train/learning_rate,train/approx_kl
114,628,71680,9.629999999999999,96.23,70,0.2,0.8154236674308777,0.01376953125,0.4135700464248657,690,-0.06244130207924172,1.2559467256069183,-0.00014651180244982243,0.0003,0.00011856394
115,628,72704,9.708,96.83,71,0.2,0.5726621747016907,0.0298828125,0.5213445425033569,700,-0.05448920947965234,1.1143087770789861,-0.0033865581324789675,0.0003,0.0027514517
117,628,73728,9.722,96.97,72,0.2,0.7515802979469299,0.00703125,0.4325924515724182,710,-0.0603530558408238,1.4802360445261002,0.0004957615863531827,0.0003,0.00037905035
118,628,74752,9.812,97.78,73,0.2,0.7756158709526062,0.01416015625,0.5264746844768524,720,-0.06233751510735601,1.2729027548804879,-0.0006982518942095339,0.0003,0.002038962
120,628,75776,9.727000000000002,97.02,74,0.2,0.6855075359344482,0.04013671875,0.3582640290260315,730,-0.06107913537707645,1.4800550606101752,-0.002838149532908574,0.0003,0.0032242038
122,628,76800,9.924,98.54,75,0.2,0.37718895077705383,0.01884765625,0.6369185149669647,740,-0.06028092977358028,1.278063902258873,-4.71322302473709e-05,0.0003,0.0017579534
123,628,77824,10.213,100.98,76,0.2,0.6402433514595032,0.02041015625,0.6688562631607056,750,-0.06025904871057719,0.9654454439878464,0.0006771019398001954,0.0003,0.00026116884
125,628,78848,10.411000000000001,102.6,77,0.2,0.6143581867218018,0.01298828125,0.5372278094291687,760,-0.06908319105859846,1.5119191370904446,-0.0014848011021967977,0.0003,0.0005020804
127,628,79872,10.462000000000003,103.02,78,0.2,0.6570516228675842,0.0123046875,0.5649056732654572,770,-0.05948114454513416,1.3843224350363017,-0.0016434408433269709,0.0003,0.00075871864
128,628,80896,10.598000000000003,104.11,79,0.2,0.6658799052238464,0.022265625,0.6479481756687164,780,-0.06147537329234183,1.1580461889505387,-0.002094777801539749,0.0003,0.001822065
